,sec_code,beta,alpha,adf_factor,stochastic,mean,std,category
9,002224.XSHE,0.520771331535,0.520762710514,4.46277200954e-14,0.44431697795,-0.0436943732362,0.0201122649822,HY405
10,300586.XSHE,0.521899136778,0.521898735216,2.53550507524e-19,0.0695259458816,-0.0431803473957,0.041092115322,HY405
11,002601.XSHE,0.521774533234,0.521768314394,0.0,0.178015585763,-0.0435177841937,0.0208688704695,HY405
12,603737.XSHG,0.521171433032,0.521165422334,0.0,0.219505181643,-0.0435720268476,0.0223667868755,HY405
13,600277.XSHG,0.521608088105,0.521606050437,7.08095023685e-14,0.994934936678,-0.0435339501075,0.0156712000705,HY405
14,600063.XSHG,0.521377365054,0.521370816198,5.70109293697e-05,0.0631136707387,-0.0435768519601,0.0149029444405,HY405
15,600618.XSHG,0.521310366577,0.521302194839,0.0,0.420318075513,-0.0435491992044,0.0211462105746,HY405
16,000545.XSHE,0.521320784021,0.521322010386,0.0,0.46563004371,-0.0435643502698,0.0171306629528,HY405
17,002632.XSHE,0.521414054764,0.521408480003,1.15277041972e-15,0.380755486959,-0.0436064780684,0.0228316867735,HY405
18,300221.XSHE,0.520680690592,0.520675623826,0.0,0.358320609101,-0.0435744945145,0.025200788807,HY405
19,002226.XSHE,0.521381827982,0.521381553238,1.06557755555e-07,0.171868983548,-0.043606590725,0.0181746969684,HY405
20,600458.XSHG,0.521174849235,0.521167785222,0.0,0.586990443996,-0.0436567124521,0.0196913311165,HY405
21,600273.XSHG,0.5219422545,0.521940953006,2.56521199801e-12,0.271178638467,-0.0436027097018,0.0144432585208,HY405
22,600746.XSHG,0.521431581369,0.521425403015,1.19357578221e-17,0.144337379432,-0.0436132448695,0.0258765378822,HY405
23,002386.XSHE,0.521795452396,0.521787400493,3.74710067996e-29,0.0826006443192,-0.0434786145566,0.0268524750939,HY405
24,600409.XSHG,0.521864772464,0.521854040612,6.71622449552e-30,0.318879955937,-0.0434987280594,0.021984144806,HY405
25,002108.XSHE,0.520442225338,0.520433937034,1.12694544434e-15,0.145749643713,-0.0436046892353,0.0328658302749,HY405
26,002753.XSHE,0.52123497448,0.521227746163,0.0,0.67672337493,-0.0435223509435,0.0346199486377,HY405
27,300218.XSHE,0.520769524818,0.520764530427,3.84672806339e-24,0.767182057283,-0.0437060365803,0.0210746513089,HY405
28,600367.XSHG,0.521376580575,0.521368671986,2.24700687571e-22,0.991144170054,-0.0435904690826,0.0219242400055,HY405
29,600985.XSHG,0.52172894614,0.521721368764,3.38901493156e-30,0.104304333666,-0.0434936395105,0.0249059878352,HY405
30,600160.XSHG,0.521544203252,0.521533582829,0.0,0.186394320657,-0.0435059438605,0.0230563259552,HY405
31,603227.XSHG,0.521106411238,0.521101669347,4.24594919307e-16,0.127453781876,-0.0436289313178,0.02376892415,HY405
32,603010.XSHG,0.521471864366,0.521469695285,0.0,0.0630351743009,-0.0434296696106,0.0282616307981,HY405
33,002068.XSHE,0.521947226144,0.521937607998,0.0,0.940040067851,-0.0434555715336,0.0256245633652,HY405
34,600623.XSHG,0.52124562156,0.521237176812,0.0,0.190672520258,-0.0437014118957,0.0219857230605,HY405
35,300325.XSHE,0.520519488077,0.520517655231,3.97423457962e-28,0.539516901226,-0.043697393266,0.0332571595505,HY405
36,000818.XSHE,0.521630874848,0.52162480001,0.0,0.281979826561,-0.0435791091714,0.0228267974379,HY405
37,600135.XSHG,0.521080770782,0.521073684866,0.0,0.85495974592,-0.0435568812002,0.0241160824501,HY405
38,603601.XSHG,0.520406394534,0.520400972771,0.0,0.305066193459,-0.0436614419763,0.0343426222692,HY405
39,300132.XSHE,0.522393238969,0.522385412136,0.0,0.768982672475,-0.0436582865724,0.0250227649977,HY405
40,300405.XSHE,0.52033833644,0.520328633799,0.0,0.571504878141,-0.0436765351856,0.0282997078161,HY405
41,300539.XSHE,0.521316026594,0.521310777934,3.1638401684e-12,0.95078369428,-0.0435067115385,0.0413603455636,HY405
42,603916.XSHG,0.52191472957,0.521905534061,4.16371478284e-25,0.0999642743225,-0.0435311271425,0.0244904258603,HY405
43,600309.XSHG,0.522561534716,0.522557973173,0.0,0.985642142662,-0.0434260838968,0.0218675846236,HY405
44,600230.XSHG,0.522547508267,0.522531844601,0.0,0.231955754449,-0.0432182816277,0.0356115753324,HY405
45,600328.XSHG,0.521311831769,0.521305158933,2.91193481261e-26,0.404190607028,-0.0435929992907,0.018681162783,HY405
46,300478.XSHE,0.52113134412,0.521129428209,1.85011848714e-27,0.885771188865,-0.0435907254721,0.0301492716903,HY405
47,002838.XSHE,0.521824591853,0.521818143526,1.84788634623e-26,0.728708681944,-0.043305621546,0.0374593589742,HY405
48,002741.XSHE,0.521611242663,0.521604814726,0.0,0.639352621776,-0.0436257714723,0.0209506379053,HY405
49,000822.XSHE,0.522035980343,0.522022604488,6.67802184266e-22,0.457275610559,-0.043398172644,0.0264305986275,HY405
50,603026.XSHG,0.521432408127,0.52142180591,0.0,0.241532375175,-0.0436852573247,0.0266324322806,HY405
51,002125.XSHE,0.521023584421,0.521018551458,2.59416638768e-19,0.30795782932,-0.043687979106,0.0311648626392,HY405
52,000698.XSHE,0.521345483464,0.521340415898,0.0,0.840589216547,-0.0435525313055,0.0153602671852,HY405
53,600714.XSHG,0.521293507825,0.521287520287,1.73552021465e-18,0.192081509835,-0.043565360848,0.0259967968854,HY405
54,002395.XSHE,0.521300163606,0.521293632565,0.0,0.975850088887,-0.0436434273457,0.026866115505,HY405
55,600844.XSHG,0.521469014077,0.521472151,0.0,0.185605701807,-0.0435713090708,0.0169966925688,HY405
56,002145.XSHE,0.521249962058,0.52124634378,0.0,0.255017604348,-0.0435314810113,0.017049431249,HY405
57,002360.XSHE,0.521129235928,0.521125051315,4.14648354227e-29,0.0721518197604,-0.0436696520077,0.020145243836,HY405
58,601678.XSHG,0.521827589153,0.521817115033,5.01686276995e-11,0.631383255417,-0.0434223206092,0.024790736388,HY405
59,002092.XSHE,0.521764995312,0.521756447005,8.67436619615e-10,0.482661901717,-0.0434220970874,0.0218304054869,HY405
60,002497.XSHE,0.522149870221,0.522138096627,4.72679840492e-18,0.204157995306,-0.0433639329451,0.0327621749898,HY405
61,002037.XSHE,0.521100724912,0.521095757855,0.0,0.757076224018,-0.0436061617589,0.0189011372649,HY405
62,300446.XSHE,0.520958546445,0.520950862869,7.6358959557e-19,0.333527752359,-0.043606495256,0.0230939952235,HY405
63,000683.XSHE,0.521704185993,0.52169978691,5.75892029027e-06,0.115243808449,-0.0435650386692,0.0164866666867,HY405
64,002165.XSHE,0.521075356092,0.521072432822,3.77175010741e-17,0.552010884739,-0.0435892479327,0.0158145337587,HY405
65,603077.XSHG,0.520864289767,0.52086565708,0.0,0.682902153682,-0.0436655369699,0.0261447999949,HY405
66,603002.XSHG,0.521459788915,0.521452556631,0.0,0.526625992464,-0.0435755945407,0.0191217456164,HY405
67,600078.XSHG,0.521190629498,0.521182270238,6.63279746777e-30,0.367711139199,-0.0435793166933,0.0186333831421,HY405
68,002768.XSHE,0.521712296992,0.521713985518,0.0,0.0736913008417,-0.0435781747007,0.0171738104452,HY405
69,300174.XSHE,0.521004669652,0.521005986711,0.0,0.375044539992,-0.043475940283,0.0291798826628,HY405
70,002585.XSHE,0.521459087224,0.521455893518,0.0,0.978605098183,-0.0436380042062,0.0199246413792,HY405
71,000859.XSHE,0.521275601028,0.521270055874,0.0,0.911794657753,-0.0435731682463,0.0184602312543,HY405
72,002136.XSHE,0.521388344669,0.521383471151,0.0,0.0676394378363,-0.0435006648247,0.0243843203989,HY405
73,002361.XSHE,0.521264859997,0.52126010985,2.47305631618e-19,0.153206108185,-0.0435690513624,0.0202275830262,HY405
74,300200.XSHE,0.521156309658,0.521148569584,0.0,0.239007233204,-0.0436089957149,0.0194632828199,HY405
75,600075.XSHG,0.521116119229,0.521110420105,5.98903053234e-24,0.526663901783,-0.0435781134651,0.0246085302928,HY405
76,002324.XSHE,0.520852214411,0.520852352608,0.0,0.243693201582,-0.0435210924427,0.0204278259294,HY405
77,002246.XSHE,0.521477432926,0.521470099247,8.19000311206e-07,0.0698407563397,-0.0435080308035,0.0305246997664,HY405
78,000930.XSHE,0.521583835132,0.521582575702,1.50241275718e-08,0.526011362769,-0.043490085406,0.0198512842874,HY405
79,002648.XSHE,0.522040185715,0.522026842716,0.0,0.740730025766,-0.0434457459393,0.02581026154,HY405
80,300305.XSHE,0.52108973141,0.521082817473,0.0,0.944741308402,-0.0436530489434,0.0151016364133,HY405
0,600500.XSHG,0.521635490979,0.5216280125,0.0,0.106716556308,-0.0435659211053,0.0192440713713,HY406
0,600691.XSHG,0.521669660664,0.521663576433,0.0,0.229838955262,-0.0435116575635,0.0194079310644,HY407
1,002391.XSHE,0.52152734059,0.521522089542,0.0,0.811119184156,-0.0435355414942,0.0172350270403,HY407
2,002539.XSHE,0.520794234544,0.520788084018,0.0,0.282590209726,-0.0436963810294,0.0192884866201,HY407
3,600486.XSHG,0.522199628136,0.522188581878,0.0,0.264106832725,-0.043482451258,0.0203409891868,HY407
4,600727.XSHG,0.521561746267,0.521553461507,3.95877910929e-15,0.33850724275,-0.0435014390405,0.0219850310702,HY407
5,300261.XSHE,0.521049944816,0.521047283279,0.0,0.706208873589,-0.0435581403855,0.0233392868643,HY407
6,000902.XSHE,0.521541316895,0.521536645007,0.0,0.248378208026,-0.0436418297074,0.0162564177597,HY407
7,600731.XSHG,0.521148693842,0.521142562276,0.0,0.980768057163,-0.0435701864879,0.0160835020808,HY407
8,600096.XSHG,0.521350804609,0.5213442152,0.0,0.212892698661,-0.0435574748161,0.017463270921,HY407
9,002588.XSHE,0.520830269181,0.52082610147,0.0,0.0592441255318,-0.0436302637888,0.0156804317744,HY407
10,600596.XSHG,0.522545275632,0.522529500396,0.0,0.466754807602,-0.0435634904773,0.0292272906531,HY407
11,002734.XSHE,0.521017570186,0.521016338736,0.0,0.0882657570619,-0.043564839454,0.0262970740193,HY407
12,000830.XSHE,0.523010761116,0.522991762255,5.74391724358e-16,0.19635506089,-0.0433562940395,0.028429268329,HY407
13,002215.XSHE,0.52154386914,0.52154187289,0.0,0.157023374708,-0.0436237453521,0.0180259796181,HY407
14,002274.XSHE,0.521317046753,0.521311999433,9.75873560673e-30,0.945520754336,-0.0435823287328,0.0166987670759,HY407
15,300387.XSHE,0.520500815299,0.520497339315,0.0,0.571174787134,-0.0435835161111,0.0296442897869,HY407
16,002496.XSHE,0.521004413604,0.520999281921,1.52664644399e-14,0.212545218866,-0.0435011154074,0.0207222125659,HY407
17,002556.XSHE,0.521280297529,0.521273007797,1.48655001094e-22,0.952832442509,-0.0435611885255,0.0191286215182,HY407
18,600389.XSHG,0.522064987237,0.522057695622,2.7230598089e-22,0.550889126292,-0.0435894578112,0.0234812222708,HY407
19,000731.XSHE,0.521585651917,0.521578967783,2.8037567564e-26,0.311576387844,-0.0435092235953,0.0233066534942,HY407
20,603599.XSHG,0.521453663503,0.521447297263,0.0,0.0561564400705,-0.0435458224743,0.0160113016798,HY407
21,002749.XSHE,0.521124783145,0.521121323564,0.0,0.106741850042,-0.0435893938262,0.0292481615495,HY407
22,002004.XSHE,0.521143695729,0.521142987972,0.0,0.486211456316,-0.0435762061933,0.0105120331747,HY407
23,600803.XSHG,0.522244863736,0.522240974459,4.65152482989e-18,0.147887870915,-0.0435236540196,0.0258037791274,HY407
24,000792.XSHE,0.521289093175,0.521282147561,0.0,0.638292253757,-0.0435947375199,0.0308092004548,HY407
25,000525.XSHE,0.521789107603,0.52177948065,0.0,0.0519986373932,-0.0434770572923,0.0244609981182,HY407
